agent,step,time_s,x_m,y_m,heading_bin,yaw_rad,yaw_deg,primitive_id_to_next
0,0,0.0,0.5,0.2,0,0.0,0.0,17
0,1,0.5,1.0,0.2,0,0.0,0.0,17
0,2,1.0,1.5,0.2,0,0.0,0.0,21
0,3,1.5,1.41213203436,0.412132034356,1,0.7853981633974483,45.0,21
0,4,2.0,1.2,0.5,2,1.5707963267948966,90.0,5
0,5,2.5,1.4,0.5,2,1.5707963267948966,90.0,21
0,6,3.0,1.18786796564,0.412132034356,3,2.356194490192345,135.0,21
0,7,3.5,1.1,0.2,4,3.141592653589793,180.0,17
0,8,4.0,1.6,0.2,4,3.141592653589793,180.0,17
0,9,4.5,2.1,0.2,4,3.141592653589793,180.0,
1,0,0.0,0.5,0.8,0,0.0,0.0,9
1,1,0.5,0.8,0.8,0,0.0,0.0,17
1,2,1.0,1.3,0.8,0,0.0,0.0,10
1,3,1.5,1.0,0.8,0,0.0,0.0,14
1,4,2.0,0.6,0.8,0,0.0,0.0,22
1,5,2.5,0.512132034356,0.587867965644,7,5.497787143782138,315.0,22
1,6,3.0,0.3,0.5,6,4.71238898038469,270.0,5
1,7,3.5,0.5,0.5,6,4.71238898038469,270.0,17
1,8,4.0,1.0,0.5,6,4.71238898038469,270.0,0
1,9,4.5,1.0,0.5,6,4.71238898038469,270.0,
2,0,0.0,1.7,0.5,2,1.5707963267948966,90.0,5
2,1,0.5,1.9,0.5,2,1.5707963267948966,90.0,17
2,2,1.0,2.4,0.5,2,1.5707963267948966,90.0,0
2,3,1.5,2.4,0.5,2,1.5707963267948966,90.0,21
2,4,2.0,2.18786796564,0.412132034356,3,2.356194490192345,135.0,21
2,5,2.5,2.1,0.2,4,3.141592653589793,180.0,3
2,6,3.0,2.1,0.3,4,3.141592653589793,180.0,19
2,7,3.5,2.1,0.8,4,3.141592653589793,180.0,0
2,8,4.0,2.1,0.8,4,3.141592653589793,180.0,0
2,9,4.5,2.1,0.8,4,3.141592653589793,180.0,
